seconds,X,Y,Z
19.251,-3.260529,-11.986197,-2.807364
19.26,-3.565579,-11.320082,-3.220546
19.269,-4.234462,-10.791969,-3.492115
19.278,-4.725608,-10.470256,-3.351116
19.287,-5.215309,-10.162572,-3.147044
19.296,-5.288208,-10.157448,-2.33019
19.305,-5.336139,-10.161423,-1.152799
19.314,-5.751706,-10.367296,0.68524
19.323,-5.464191,-10.869321,1.314292
19.332,-5.16481,-11.21128,1.348759
19.341,-5.222894,-11.294292,1.28719
19.35,-4.725091,-11.055762,0.777713
19.359,-4.240553,-10.683559,0.441539
19.368,-4.198472,-10.415036,-0.272843
19.377,-4.091805,-10.379535,-0.972467
19.386,-3.791448,-10.372247,-1.091497
19.395,-3.118927,-10.48238,-0.999167
19.404,-2.491301,-10.536259,-1.244918
19.413,-2.211946,-10.355162,-1.33291
19.422,-2.08037,-9.938408,-1.473622
19.431,-1.903812,-9.390998,-1.19034
19.44,-1.901456,-8.944939,-0.643877
19.449,-2.286386,-8.594398,-0.406047
19.458,-2.545036,-8.37873,-0.486052
19.467,-2.762325,-7.953959,-0.667781
19.476,-2.942043,-7.586909,-0.770607
19.485,-3.116082,-7.175087,-0.795325
19.494,-3.155223,-6.76316,-0.776152
19.503,-3.264169,-6.420971,-0.825856
19.512,-3.318967,-6.198818,-0.717648
19.521,-3.380939,-5.91839,-0.592622
19.53,-3.298042,-5.613512,-0.515462
19.539,-3.083732,-5.292766,-0.366351
19.548,-2.936527,-5.053988,-0.168571
19.557,-2.946228,-4.925764,-0.008543
19.566,-2.834218,-4.781432,0.111101
19.575,-2.746973,-4.545114,0.053113
19.584,-2.605686,-4.240849,-0.110852
19.593,-2.332182,-4.024107,-0.366753
19.602,-2.056753,-3.878789,-0.829974
19.611,-1.782818,-3.921856,-1.44582
19.62,-1.716691,-4.027756,-2.152234
19.629,-1.802815,-4.468021,-2.962528
19.638,-1.805669,-5.310627,-4.493265
19.647,-2.012413,-6.676998,-6.649292
19.656,-2.20031,-8.647081,-8.912358
19.665,-2.089391,-11.193679,-11.092384
19.674,-1.269933,-13.919965,-12.500979
19.683,-0.05974,-16.158611,-13.010399
19.692,1.021491,-16.96451,-12.30181
19.701,0.77485,-14.040806,-9.856335
19.71,0.269625,-11.223931,-8.305371
19.719,-0.035013,-9.125213,-7.349155
19.728,-0.843506,-6.922183,-6.314697
19.737,-1.783584,-5.844869,-5.480232
19.746,-3.144008,-5.566059,-4.664776
19.755,-4.491809,-6.548525,-4.008717
19.764,-5.640442,-8.085018,-2.671785
19.773,-6.490824,-10.375886,-1.549546
19.782,-6.841182,-12.778142,-1.444891
19.791,-6.081837,-14.641242,-2.187783
19.8,-4.163306,-15.111549,-3.387709
19.809,-2.238425,-13.597457,-3.362446
19.818,-1.607074,-11.149902,-1.780003
19.827,-2.131634,-8.695051,-0.987512
19.836,-3.396434,-6.420004,0.278417
19.845,-4.853238,-4.66719,1.490553
19.854,-5.778013,-3.484445,1.629953
19.863,-6.627897,-3.078455,1.904923
19.872,-7.466222,-3.463021,2.353347
19.881,-7.129387,-4.488142,2.42343
19.89,-6.067242,-6.026388,2.264589
19.899,-4.383592,-8.281064,2.248491
19.908,-2.067556,-10.781042,1.355482
19.917,-0.694807,-13.055926,0.132687
19.926,-0.053103,-14.181977,-0.346709
19.935,0.319808,-14.074717,-0.497247
19.944,0.413641,-13.217593,-0.450139
19.953,0.340858,-11.792832,-0.312539
19.962,-0.299218,-10.425274,-0.419273
19.971,-0.986832,-9.50092,-0.580268
19.98,-1.672407,-8.755194,-0.90814
19.989,-2.255089,-8.184349,-1.176223
19.998,-2.464831,-7.965433,-1.21206
20.007,-2.615579,-7.891452,-1.079785
20.016,-2.637951,-8.08814,-0.659986
20.025,-2.550945,-8.388325,-0.08011
20.034,-2.374646,-8.608228,0.236279
20.043,-2.128302,-8.751095,0.095337
20.052,-2.005939,-8.884068,-0.039121
20.061,-1.891888,-8.955062,-0.213438
20.07,-1.875876,-9.004468,-0.426493
20.079,-1.923128,-8.93132,-0.574676
20.088,-1.886478,-8.813928,-1.156275
20.097,-1.740767,-8.800501,-0.809614
20.106,-1.714488,-8.880573,-0.69541
20.115,-1.734877,-9.027424,-0.783996
20.124,-1.684225,-9.052821,-0.367012
20.133,-1.827992,-9.172426,-0.202885
20.142,-1.925436,-9.184129,-0.051581
20.151,-1.849856,-9.17505,-0.099292
20.16,-1.838833,-9.077616,-0.027457
20.169,-1.777724,-9.048713,-0.013522
20.177,-1.929602,-9.036302,-0.059156
20.187,-2.055585,-9.045936,-0.267547
20.196,-2.131998,-9.17777,-0.697958
20.205,-2.316515,-9.249643,-1.339249
20.214,-2.417176,-9.368032,-1.956273
20.223,-2.617715,-9.415504,-2.41799
20.232,-2.810429,-9.692122,-2.477769
20.241,-2.660944,-9.895484,-2.048307
20.25,-2.184843,-9.981523,-1.232142
20.259,-1.509333,-10.1934,-0.437315
20.268,-0.814364,-10.203188,0.33922
20.277,-0.204149,-10.195593,0.85133
20.286,0.019048,-10.201483,0.872016
20.295,-0.014777,-10.336219,0.577357
